編號,公園名稱,里別,面積,類別,座落位置,使用分區,所在轄區,X座標,Y座標
473,市立文化中心(公17),忠孝里,0.5463,區域公園,中華東路與崇明路口文化中心,大型,東區,120.221573,22.975001
474,臺南市衛生局(公10),龍山里,2.5394,區域公園,東門路與林森路口衛生局,大型,東區,120.222398,22.985383
475,東門城(綠5),龍山里,0.33,鄰里公園,東門路一段與二段間圓環,大型,東區,120.217552,22.987071
476,安平樹屋第三期工程(公2),海頭里,0.753723,區域公園,古堡街與古堡街118巷,大型,安平區,120.159828,23.003493
477,扎哈木原住民公園(公8),平通里,2.202577,區域公園,慶平路、平豐路口,大型,安平區,120.16392,22.995132
478,北區公6停車場(公6),和順里,1.3,區域公園,海安路、臨安路、公園南路口,大型,北區,120.200697,23.003182
479,海北段公32(台江文化中心前),溪心里等,1.2742,區域公園,安吉路1段&安中路2段路口安吉路一段與安中路三段口,大型,安南區,120.188054,23.046117
480,臺南第二美術館(原名檨仔林公園公11),永福里,2.22,區域公園,忠義路、府前路口,大型,中西區,120.20173,22.990407
481,安億公園(公8),平通里,1.63,區域公園,安億路,大型,安平區,120.164003,22.995812
482,火車站前圓環(廣場),赤嵌里,0.31,鄰里公園,台南鐵路車站前站,鄰里,中西區,120.211943,22.997261
483,新興里三角公園(文教用地),新興里,0.02,鄰里公園,新興路20巷口,鄰里,南區,120.197222,22.979802
484,文賢公園,文賢里,0.3,鄰里公園,文和街,鄰里,中西區,120.187993,23.000489
485,光武段公兒31,大道里,0.1,鄰里公園,北門路二段626號旁空地綠美化,鄰里,北區,120.216814,23.011363
486,大涼生態公園,大涼里,1.47,區域公園,府前路二段258巷,大型,中西區,120.191194,22.994778
